INCIDENT_KEY,OCCUR_DATE,OCCUR_TIME,STATISTICAL_MURDER_FLAG
233459106,9/10/21,17:35:00,TRUE
222527697,1/2/21,5:10:00,FALSE
234613901,10/6/21,4:34:00,TRUE
230276664,6/30/21,20:00:00,FALSE
227000895,4/15/21,16:15:00,FALSE
229493102,6/12/21,0:30:00,FALSE
233790861,9/18/21,22:35:00,TRUE
232733684,8/25/21,23:16:00,FALSE
234369762,10/1/21,16:53:00,TRUE
228890010,5/30/21,23:38:00,TRUE
238004075,12/17/21,22:13:00,FALSE
233942902,9/22/21,8:29:00,FALSE
232390407,8/17/21,13:00:00,FALSE
227950650,5/6/21,23:28:00,TRUE
227344212,4/25/21,17:32:00,TRUE
233828559,9/19/21,19:33:00,TRUE
224412024,2/15/21,7:10:00,FALSE
227000895,4/15/21,16:15:00,FALSE
223198985,1/16/21,12:39:00,FALSE
227344212,4/25/21,17:32:00,TRUE
227950650,5/6/21,23:28:00,TRUE
223198985,1/16/21,12:39:00,TRUE
225601140,3/13/21,3:50:00,FALSE
229188686,6/6/21,2:00:00,TRUE
237362981,12/4/21,21:55:00,FALSE
236405158,11/17/21,20:37:00,TRUE
228426149,5/19/21,21:36:00,FALSE
236254076,11/13/21,16:59:00,FALSE
236325237,11/15/21,20:15:00,FALSE
228890010,5/30/21,23:38:00,TRUE
234786237,10/10/21,21:20:00,FALSE
229091710,6/3/21,23:30:00,FALSE
224465137,2/16/21,20:48:00,TRUE
229091710,6/3/21,23:30:00,FALSE
238004075,12/17/21,22:13:00,TRUE
229861114,6/21/21,3:00:00,FALSE
222848394,1/8/21,5:50:00,FALSE
222932692,1/11/21,23:49:00,TRUE
234433695,10/2/21,11:55:00,FALSE
238009968,12/18/21,0:15:00,TRUE
234930233,10/13/21,17:55:00,TRUE
229188687,6/5/21,21:30:00,FALSE
232291476,8/13/21,16:10:00,TRUE
222717379,1/6/21,19:00:00,FALSE
222563766,1/3/21,21:21:00,TRUE
236170275,11/11/21,20:17:00,TRUE
225779049,3/17/21,22:09:00,TRUE
238104586,12/20/21,20:28:00,FALSE
227344212,4/25/21,17:32:00,FALSE
225601140,3/13/21,3:50:00,FALSE
226654024,4/7/21,0:24:00,TRUE
226233404,3/27/21,3:49:00,TRUE
227344214,4/24/21,22:30:00,FALSE
233459106,9/10/21,17:35:00,FALSE
226323779,3/30/21,16:20:00,FALSE
234208386,9/28/21,13:28:00,FALSE
231110269,7/20/21,15:15:00,FALSE
237630150,12/9/21,17:45:00,TRUE
229188686,6/6/21,2:00:00,TRUE
238004075,12/17/21,22:13:00,TRUE
235740736,10/30/21,23:56:00,FALSE
222563766,1/3/21,21:21:00,TRUE
236877535,11/23/21,7:21:00,FALSE
223505104,1/23/21,17:40:00,TRUE
222890074,1/10/21,15:43:00,TRUE
229863863,6/21/21,1:00:00,FALSE
226542151,4/5/21,23:15:00,TRUE
226204062,3/27/21,15:27:00,FALSE
225387703,3/9/21,18:20:00,FALSE
225063428,3/2/21,22:35:00,FALSE
226654024,4/7/21,0:24:00,TRUE
229943472,6/22/21,20:17:00,FALSE
224950993,2/27/21,3:30:00,FALSE
234208836,9/28/21,20:40:00,FALSE
233502665,9/13/21,15:50:00,FALSE
223198985,1/16/21,12:39:00,FALSE
227950650,5/6/21,23:28:00,FALSE
235913273,11/5/21,1:30:00,TRUE
223827862,2/1/21,22:20:00,FALSE
222932692,1/11/21,23:49:00,TRUE
228426149,5/19/21,21:36:00,FALSE
226445225,4/2/21,13:20:00,FALSE
235740736,10/30/21,23:56:00,FALSE
236326558,11/13/21,17:49:00,TRUE
225275547,3/7/21,1:50:00,TRUE
234208836,9/28/21,20:40:00,FALSE
